伝票番号,明細番号,要求明細番号,営業日付,開店回数,店舗コード,店舗名,明細区分,商品コード,バーコード,商品名,仕入先名,部門名,分類１名,原価,商品管理区分,標準金額,標準税額,税率,販売金額,販売税額,数量,小計金額,小計税額,P/S区分,按分後金額,按分後税額,値引区分,部門販売フラグ,免税用商品区分,軽減税率対象品,伝票引除外,売上報告控除区分,(伝)現金,(伝)クレジット,(伝)売掛,(伝)その他,登録日時
4301497,1,1,20260208,1,01001047,FUNラゾーナ川崎プラザ,0,1105050205910,2900000192805,TGDK420ﾌｧｰｵﾌｼｮﾙPO,株式会社トップ,TC,GRAY,1080.00,1,999,99,10,999,99,1,999,99,1,1098,99,0,0,0,0,0,0,0,0,0,1098,2026/02/08 20:56:13
4301496,1,1,20260208,1,01001055,FUN ＬＩＮＫＳ ＵＭＥＤＡ,0,1508122008013,2900000174702,24AW063ﾌﾘﾙﾁｭﾁｭSK,株式会社ＴｒｅｅＴｕｍｂｏ,ガーリー,BLACK,1035.00,1,2799,279,10,2799,279,1,2799,279,1,3078,279,0,0,0,0,0,0,0,0,0,3078,2026/02/08 20:57:35
4301489,1,1,20260208,1,01001053,FUNイオンモール高崎,0,1508122017990,2900000193819,T6019ﾌﾘﾙSK,株式会社ＴｒｅｅＴｕｍｂｏ,ガーリー,GY系,1170.00,1,2999,299,10,2999,299,1,2999,299,1,3299,300,0,0,0,0,0,0,0,0,0,13000,2026/02/08 20:45:20
4301489,2,2,20260208,1,01001053,FUNイオンモール高崎,0,1507122016890,2900000193789,T6018ﾄﾞｯｷﾝｸﾞﾘﾎﾞﾝBL,株式会社ＴｒｅｅＴｕｍｂｏ,ガーリー,GR系,1250.00,1,3399,339,10,3399,339,1,3399,339,1,3739,340,0,0,0,0,0,0,0,0,0,13000,2026/02/08 20:45:20
4301489,3,3,20260208,1,01001053,FUNイオンモール高崎,0,1115147022015,2900000182677,2287TRｱﾂｿﾞｺﾛﾝｸﾞﾌﾞｰﾂ,株式会社LEON,TC,BLACK,2150.00,1,4999,499,10,4999,499,1,4999,499,1,5498,499,0,0,0,0,0,0,0,0,0,13000,2026/02/08 20:45:20
4301489,4,4,20260208,1,01001053,FUNイオンモール高崎,0,9998998013114,2900000103832,NｼｮｯﾋﾟﾝｸﾞﾊﾞｯｸﾞL,その他,***,WH,22.00,0,30,3,10,30,3,1,30,3,1,33,3,0,0,0,0,0,0,0,0,0,13000,2026/02/08 20:45:20
4301486,1,1,20260208,1,01001036,FUNイオンレイクタウン,0,1104132041010,2900000178724,30563ﾘﾌﾞｸﾛｽKT,株式会社エッグシェル,TC,BLACK,740.00,1,2599,259,10,2599,259,1,2599,259,1,2858,259,0,0,0,0,0,0,0,0,0,3008,2026/02/08 20:47:54
4301485,1,1,20260208,1,01001055,FUN ＬＩＮＫＳ ＵＭＥＤＡ,0,1103120062410,2900000192775,280725-15ｽｴﾎﾟﾝJK,株式会社ワンズアーク,TC,PI,1430.00,1,3999,399,10,3999,399,1,3999,399,1,4398,399,0,0,0,0,0,0,0,0,0,10000,2026/02/08 20:38:02
4301482,1,1,20260208,1,01001049,FUNイオンモール幕張新都心,0,1508122017990,2900000193819,T6019ﾌﾘﾙSK,株式会社ＴｒｅｅＴｕｍｂｏ,ガーリー,GY系,1170.00,1,2999,299,10,2999,299,1,2999,299,1,3299,300,0,0,0,0,0,0,0,0,0,22873,2026/02/08 20:30:44
4301482,2,2,20260208,1,01001049,FUNイオンモール幕張新都心,0,1109123099712,2900000191181,F-0202ｻｲﾄﾞｶｯﾄﾘﾎﾞﾝPT,株式会社フラワージーンズ,TC,BLUE,1340.00,1,3599,359,10,3599,359,1,3599,359,1,3959,360,0,0,0,0,0,0,0,0,0,22873,2026/02/08 20:30:44
